,buy,sell,total balance,usd balance,btc balance,change
0,False,False,1000.0,1000,0,0.0%
1,False,False,1000.0,1000,0,0.0%
2,False,False,1000.0,1000,0,0.0%
3,False,False,1000.0,1000,0,0.0%
4,False,False,1000.0,1000,0,0.0%
5,False,False,1000.0,1000,0,0.0%
6,False,False,1000.0,1000,0,0.0%
7,False,False,1000.0,1000,0,0.0%
8,False,False,1000.0,1000,0,0.0%
9,False,False,1000.0,1000,0,0.0%
10,False,False,1000.0,1000,0,0.0%
11,False,False,1000.0,1000,0,0.0%
12,False,False,1000.0,1000,0,0.0%
13,False,False,1000.0,1000,0,0.0%
14,False,False,1000.0,1000,0,0.0%
15,False,False,1000.0,1000,0,0.0%
16,False,False,1000.0,1000,0,0.0%
17,False,False,1000.0,1000,0,0.0%
18,False,False,1000.0,1000,0,0.0%
19,False,False,1000.0,1000,0,0.0%
20,False,False,1000.0,1000,0,0.0%
21,False,False,1000.0,1000,0,0.0%
22,False,False,1000.0,1000,0,0.0%
23,False,False,1000.0,1000,0,0.0%
24,False,False,1000.0,1000,0,0.0%
25,False,False,1000.0,1000,0,0.0%
26,False,False,1000.0,1000,0,0.0%
27,False,False,1000.0,1000,0,0.0%
28,False,False,1000.0,1000,0,0.0%
29,False,False,1000.0,1000,0,0.0%
30,False,False,1000.0,1000,0,0.0%
31,False,False,1000.0,1000,0,0.0%
32,False,False,1000.0,1000,0,0.0%
33,False,False,1000.0,1000,0,0.0%
34,False,False,1000.0,1000,0,0.0%
35,False,False,1000.0,1000,0,0.0%
36,False,False,1000.0,1000,0,0.0%
37,False,False,1000.0,1000,0,0.0%
38,False,False,1000.0,1000,0,0.0%
39,False,False,1000.0,1000,0,0.0%
40,False,False,1000.0,1000,0,0.0%
41,False,False,1000.0,1000,0,0.0%
42,False,False,1000.0,1000,0,0.0%
43,False,False,1000.0,1000,0,0.0%
44,False,False,1000.0,1000,0,0.0%
45,False,False,1000.0,1000,0,0.0%
46,False,False,1000.0,1000,0,0.0%
47,False,False,1000.0,1000,0,0.0%
48,False,False,1000.0,1000,0,0.0%
49,False,False,1000.0,1000,0,0.0%
50,False,False,1000.0,1000,0,0.0%
51,False,True,1000.0,1000,0,0.0%
52,False,False,1000.0,1000.0,0,0.0%
53,False,False,1000.0,1000.0,0,0.0%
54,False,False,1000.0,1000.0,0,0.0%
55,False,False,1000.0,1000.0,0,0.0%
56,False,False,1000.0,1000.0,0,0.0%
57,False,False,1000.0,1000.0,0,0.0%
58,False,False,1000.0,1000.0,0,0.0%
59,False,False,1000.0,1000.0,0,0.0%
60,False,False,1000.0,1000.0,0,0.0%
61,False,False,1000.0,1000.0,0,0.0%
62,False,False,1000.0,1000.0,0,0.0%
63,False,False,1000.0,1000.0,0,0.0%
64,False,False,1000.0,1000.0,0,0.0%
65,False,False,1000.0,1000.0,0,0.0%
66,False,False,1000.0,1000.0,0,0.0%
67,False,False,1000.0,1000.0,0,0.0%
68,False,False,1000.0,1000.0,0,0.0%
69,False,False,1000.0,1000.0,0,0.0%
